title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,76
Love You Like A Love Song,Selena Gomez & The Scene,dance pop,2012,117,68,86,-4,7,92,188,8,5,76
Set Fire to the Rain,Adele,british soul,2012,108,68,61,-4,13,47,242,0,3,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,86,68,63,-6,12,75,193,1,9,75
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,51,-5,21,69,230,0,5,88
Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,64,247,0,5,85
Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,-7,13,44,243,35,5,81
Hall of Fame,The Script,celtic rock,2013,85,87,42,-4,12,63,203,7,6,80
Roar,Katy Perry,dance pop,2013,180,77,55,-5,35,46,224,0,4,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,-6,37,48,231,1,3,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,-3,12,44,213,11,5,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,86,248,4,4,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,-6,11,35,221,41,3,77
All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86
Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85
Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79
Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79
Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78
Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78
Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78
Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78
Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77
Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84
I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,53,4,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84
Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83
Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81
Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14,14,242,7,5,84
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28,52,234,84,44,83
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14,42,208,16,17,81
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,81
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15,47,222,20,3,80
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11,15,205,49,4,80
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8,30,192,11,24,80
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,87
Closer,The Chainsmokers,electropop,2017,95,52,75,-6,11,66,245,41,3,86
Starboy,The Weeknd,canadian contemporary r&b,2017,186,59,68,-7,14,49,230,14,28,85
Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,84
That's What I Like,Bruno Mars,pop,2017,134,56,85,-5,9,86,207,1,4,83
Let Me Love You,DJ Snake,electronic trap,2017,100,72,65,-5,14,16,206,9,3,82
I Feel It Coming,The Weeknd,canadian contemporary r&b,2017,93,82,77,-6,7,59,269,43,12,81
Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,81
Side To Side,Ariana Grande,dance pop,2017,159,74,65,-6,24,61,226,5,23,80
Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,85
New Rules,Dua Lipa,dance pop,2018,116,70,76,-6,15,61,209,0,7,84
There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122,81,87,-4,8,97,199,38,6,84
no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,84
IDGAF,Dua Lipa,dance pop,2018,97,54,84,-6,8,51,218,4,9,84
In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,83
Wolves,Selena Gomez,dance pop,2018,125,80,72,-5,20,31,198,12,4,83
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180,44,26,-7,11,10,239,10,4,83
Memories,Maroon 5,pop,2019,91,32,76,-7,8,57,189,84,5,99
Lose You To Love Me,Selena Gomez,dance pop,2019,102,34,51,-9,21,9,206,58,4,97
Someone You Loved,Lewis Capaldi,pop,2019,110,41,50,-6,11,45,182,75,3,96
Señorita,Shawn Mendes,canadian pop,2019,117,54,76,-6,9,75,191,4,3,95
How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,86,-6,9,67,204,15,8,92
Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92
Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,19,5,90
Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90
